GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
South Dakota,8376,8259,8757,8767,8682,8264,8150,8414,8811,8907,8682,8619,8385,8399,8307,8266,8693,8948,8482,8397,8475,8465,8453
Tennessee,71596,76348,82489,82394,78571,76505,78290,81348,82971,84045,77425,69964,69570,70183,70507,71639,72418,74532,74326,72621,74992,78270,76488
Texas,159975,157210,169667,168521,168505,162697,169954,184595,195729,208134,198550,190940,188707,200901,212091,221013,231676,244617,234958,244347,260005,272092,257651
Utah,21501,20093,21116,21185,20167,20132,20891,21767,23033,23904,23821,22811,22030,23362,24499,24649,24968,26190,26504,27319,27872,27237,26069
Vermont,3906,3760,3874,3781,3777,3605,3651,3672,3704,3679,3501,3395,3312,3355,3274,3207,3127,3099,2915,2920,2968,2949,2841
Virginia,40963,40934,42382,41413,41355,41283,42543,43901,44350,44444,41670,39038,39226,39899,39718,39938,40593,42709,41982,42938,44172,46139,44432
Washington,31426,30974,32754,32502,32158,31138,32835,35648,37110,38617,36607,35164,34507,34861,35215,36483,37482,39935,38989,38964,39658,40296,39585
West Virginia,13504,12752,13142,12963,12486,11946,12131,12805,12829,12869,12144,11412,11099,11059,10627,10645,10505,10471,9636,10255,10876,10348,9527
Wisconsin,55806,56140,58499,58598,58142,57998,59628,61699,63012,62761,58211,55236,53955,55042,55009,55362,55904,57007,55986,55846,56854,56700,56093
Wyoming,4665,4562,4854,4975,4967,4767,4872,5260,5621,6062,6080,5611,5473,5943,6057,6147,6358,6073,5022,5055,5306,5503,5001
New England,52753,52217,54919,54605,53526,52376,52554,53579,53486,53710,50752,47498,46703,46822,46449,47465,48207,50103,49591,50235,51118,51432,50005
Mideast,215841,217102,229354,229873,225823,220890,223299,227615,230193,232928,219630,207013,204134,208737,210967,215641,218433,228158,224991,229463,237951,241625,230157
Great Lakes,353422,350652,366495,361115,357863,350803,360865,381033,392475,405330,385262,362394,359603,370352,374939,381619,391305,407101,399646,403575,412774,416681,402985
Plains,194516,193792,203922,201012,201887,198173,(D),209751,214654,221196,212806,206914,201537,207518,212912,214891,216967,222034,212148,213930,219125,221714,213142
Southeast,530108,530381,557452,554442,549010,535091,(D),575749,588492,598339,555064,516229,507908,519958,520343,532692,545835,572261,567157,578623,605426,627693,611245
Southwest,223173,218120,233860,231800,231879,224304,232985,251424,265661,281249,267476,256689,250599,265166,278691,288699,300045,315794,304362,316182,335992,350056,333620
Rocky Mountain,69889,67428,71411,70804,70015,68202,69935,73355,76359,79570,77348,74357,72810,76513,79026,80362,82357,84757,81923,83364,85410,85656,83141
Far West,248198,243808,256687,250649,252597,249661,261702,276194,285980,298278,283562,273806,267306,274034,277273,288531,295551,305692,303482,310728,323004,332243,329205
